,coronaoutbreak,coronavirus,covid,customer,food,grocery,line,need,online,panic,panicbuying,paper,people,price,shelf,shopping,stock,store,supermarket,toilet,Sentiment
33,0.6953566370826605,0.0,0.130853437948079,0.0,0.5230498064990161,0.23838849045246394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34767831854133024,0.0,0.0,0.21923991288009667,0.0,0.0,Positive
34,0.3735798923708918,0.0,0.14060184560859643,0.3735798923708918,0.0,0.2561481169700957,0.3735798923708918,0.0,0.0,0.0,0.0,0.3551238889882743,0.0,0.0,0.0,0.3124202565475685,0.30100905159642793,0.23557299575300933,0.0,0.3551238889882743,Positive
35,0.0,0.0,0.2773815056362198,0.0,0.0,0.0,0.7370042162157743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6163475363876748,0.0,0.0,0.0,0.0,Positive
36,0.0,0.0,0.26550525780284673,0.0,0.0,0.48369686427288927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7054489591125894,0.0,0.0,0.44484386885578403,0.0,0.0,Neutral
37,0.0,0.42870034320705475,0.22149287403351775,0.0,0.4426777267789898,0.0,0.0,0.5885078085867032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4741855248030966,0.0,0.0,0.0,Negative
38,0.0,0.5869937477892916,0.30327694926701076,0.0,0.0,0.5525092443767357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5081288881551855,0.0,0.0,Neutral
39,0.0,0.0,0.6285046486213627,0.0,0.0,0.5725041572337324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5265177077852475,0.0,0.0,Negative
40,0.0,0.0,0.21136490134160096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5338530617087648,0.0,0.5098195382932026,0.0,0.0,0.0,0.3541337796140275,0.0,0.5338530617087648,Negative
41,0.6285003411797556,0.0,0.23654460462174373,0.0,0.472760256115249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5705538637141263,0.0,0.0,0.0,0.0,0.0,0.0,Negative
42,0.0,0.0,0.1646410429828935,0.0,0.3290531262471231,0.0,0.0,0.0,0.0,0.4158406827313797,0.0,0.0,0.8316813654627594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Positive
43,0.0,0.0,0.5125057850872301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8586837719743642,0.0,0.0,Neutral
44,0.0,0.0,0.5110303958588593,0.0,0.0,0.0,0.0,0.0,0.6453652894209227,0.0,0.0,0.0,0.0,0.0,0.0,0.5677601410093757,0.0,0.0,0.0,0.0,Positive
45,0.0,0.0,0.382978398387749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9237572984114142,0.0,0.0,0.0,0.0,0.0,0.0,Neutral
46,0.0,0.0,0.1693483931563352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4499596304350299,0.0,0.0,0.0,0.4499596304350299,0.0,0.0,0.0,0.7525913789653121,0.0,Negative
47,0.0,0.0,0.23733508894896552,0.0,0.4743401254747301,0.0,0.0,0.0,0.0,0.5994470372427425,0.0,0.0,0.5994470372427425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negative
48,0.0,0.0,0.0,0.0,0.44061602113047804,0.0,0.5857669210295521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4898696516659503,0.4719770762731864,0.0,0.0,0.0,Negative
